model,dataset,epochs,layers,lambd,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.737000048160553
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.7160000205039978
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.7410000562667847
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.7310000061988831
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.7360000610351562
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.737000048160553
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.7430000305175781
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.7350000143051147
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.7310000061988831
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.734000027179718
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.7320000529289246
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.7300000190734863
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.7360000610351562
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.7260000109672546
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.737000048160553
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.7350000143051147
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.7290000319480896
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.7380000352859497
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.7360000610351562
CCA-SSG,CiteSeer,20,1,0.001,0.001,0.01,0.01,512,0.4,0.1,0.7390000224113464
