model,dataset,epochs,layers,lr1,lr2,wd2,channels,patience,accuracy
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8150)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8150)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8140)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8260)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8360)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8080)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8190)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8220)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8090)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8070)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8060)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8130)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8220)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8140)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8120)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8170)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8210)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8160)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8090)
DGI,Cora,10000,2,0.001,0.01,0.0,512,20,tensor(0.8080)
