model,dataset,epochs,out_dim,acc_mean,acc_std
nCLNR,Cora,50,64,0.778,0.0061
nCLNR,Cora,50,126,0.7953,0.0139
nCLNR,Cora,50,256,0.8223,0.0077
nCLNR,Cora,50,512,0.8308,0.0064
CLNR,Cora,50,64,0.8023,0.0132
CLNR,Cora,50,126,0.8227,0.0106
CLNR,Cora,50,256,0.8393,0.0055
CLNR,Cora,50,512,0.8403,0.0081
GRACE,Cora,400,64,0.8014,0.0092
GRACE,Cora,400,126,0.8247,0.0114
GRACE,Cora,400,256,0.8335,0.0095
GRACE,Cora,400,512,0.8324,0.0065
CCA-SSG,Cora,50,64,0.7589,0.0161
CCA-SSG,Cora,50,126,0.7959,0.0111
CCA-SSG,Cora,50,256,0.8249,0.0088
CCA-SSG,Cora,50,512,0.8436,0.0061
