model,dataset,epochs,noise,outlier,acc_mean,acc_std,Lu_mean,Lu_std,La_mean,La_std
CLNR,Cora,50,tensor(0.),,0.345,0.0057,-0.2415,0.0388,0.0656,0.0182
dCLNR,Cora,50,tensor(0.),,0.28,0.1061,-0.0818,0.1156,0.0274,0.0388
GRACE,Cora,400,tensor(0.),,0.3305,0.0106,-1.018,0.0036,0.3141,0.0116
CCA-SSG,Cora,50,tensor(0.),,0.2135,0.029,-0.1119,0.005,0.0271,0.009
CLNR,Cora,50,tensor(0.2000),,0.192,0.0424,-0.054,0.0007,0.0147,0.0014
dCLNR,Cora,50,tensor(0.2000),,0.319,0.0,-0.0,0.0,0.0,0.0
GRACE,Cora,400,tensor(0.2000),,0.1655,0.0262,-0.2102,0.0178,0.0764,0.0087
CCA-SSG,Cora,50,tensor(0.2000),,0.1805,0.0233,-0.0836,0.0025,0.0255,0.0006
CLNR,Cora,50,tensor(0.4000),,0.1745,0.0106,-0.0424,0.0037,0.0117,0.0
dCLNR,Cora,50,tensor(0.4000),,0.319,0.0,-0.0,0.0,0.0,0.0
GRACE,Cora,400,tensor(0.4000),,0.192,0.0127,-0.1704,0.0091,0.0648,0.0169
CCA-SSG,Cora,50,tensor(0.4000),,0.228,0.0071,-0.0806,0.0137,0.0219,0.0029
CLNR,Cora,50,tensor(0.6000),,0.216,0.0269,-0.051,0.0066,0.0146,0.0033
dCLNR,Cora,50,tensor(0.6000),,0.319,0.0,-0.0,0.0,0.0,0.0
GRACE,Cora,400,tensor(0.6000),,0.1615,0.029,-0.2041,0.0348,0.0688,0.0113
CCA-SSG,Cora,50,tensor(0.6000),,0.181,0.0085,-0.0887,0.008,0.0257,0.0033
CLNR,Cora,50,tensor(0.8000),,0.194,0.0325,-0.0456,0.0014,0.0132,0.0013
dCLNR,Cora,50,tensor(0.8000),,0.319,0.0,-0.0,0.0,0.0,0.0
GRACE,Cora,400,tensor(0.8000),,0.2735,0.0643,-0.1043,0.1475,0.0351,0.0496
CCA-SSG,Cora,50,tensor(0.8000),,0.192,0.0438,-0.0844,0.007,0.0252,0.0
CLNR,Cora,50,tensor(1.),,0.198,0.0438,-0.0437,0.0101,0.0118,0.0027
dCLNR,Cora,50,tensor(1.),,0.319,0.0,-0.0,0.0,0.0,0.0
GRACE,Cora,400,tensor(1.),,0.204,0.0156,-0.2707,0.0849,0.1107,0.0183
CCA-SSG,Cora,50,tensor(1.),,0.1875,0.0474,-0.0923,0.0191,0.0289,0.0064
CLNR,Cora,50,tensor(1.2000),,0.1905,0.0205,-0.0475,0.011,0.0141,0.0032
dCLNR,Cora,50,tensor(1.2000),,0.2605,0.0827,-0.0792,0.112,0.026,0.0368
GRACE,Cora,400,tensor(1.2000),,0.171,0.0071,-0.2771,0.0077,0.1006,0.0003
CCA-SSG,Cora,50,tensor(1.2000),,0.181,0.0198,-0.0759,0.0114,0.0225,0.0028
CLNR,Cora,50,tensor(1.4000),,0.1745,0.0205,-0.0441,0.0002,0.0128,0.0013
dCLNR,Cora,50,tensor(1.4000),,0.319,0.0,-0.0,0.0,0.0,0.0
GRACE,Cora,400,tensor(1.4000),,0.1785,0.0007,-0.2751,0.0549,0.1119,0.0215
CCA-SSG,Cora,50,tensor(1.4000),,0.1915,0.0035,-0.0849,0.0024,0.0233,0.0016
