model,dataset,epochs,alpha,outlier,acc_mean,acc_std
CCA-SSG,Cora,50,0.0,,0.8432,0.006
dCCA-SSG,Cora,50,0.0,,0.8317,0.0056
gCCA-SSG,Cora,400,0.0,,0.833,0.007
CLNR,Cora,50,0.0,,0.8413,0.0049
dCLNR,Cora,50,0.0,,0.8349,0.006
GRACE,Cora,400,0.0,,0.8335,0.007
CCA-SSG,Cora,50,0.2,,0.7913,0.0115
dCCA-SSG,Cora,50,0.2,,0.7835,0.009
gCCA-SSG,Cora,400,0.2,,0.7737,0.0123
CLNR,Cora,50,0.2,,0.7999,0.0121
dCLNR,Cora,50,0.2,,0.7982,0.0102
GRACE,Cora,400,0.2,,0.7676,0.0129
CCA-SSG,Cora,50,0.4,,0.7529,0.0133
dCCA-SSG,Cora,50,0.4,,0.7487,0.0143
gCCA-SSG,Cora,400,0.4,,0.7332,0.0106
CLNR,Cora,50,0.4,,0.7617,0.0132
dCLNR,Cora,50,0.4,,0.7613,0.0135
GRACE,Cora,400,0.4,,0.726,0.0174
CCA-SSG,Cora,50,0.6,,0.7227,0.0172
dCCA-SSG,Cora,50,0.6,,0.7217,0.0181
gCCA-SSG,Cora,400,0.6,,0.6951,0.0137
CLNR,Cora,50,0.6,,0.73,0.0112
dCLNR,Cora,50,0.6,,0.7363,0.017
GRACE,Cora,400,0.6,,0.6912,0.0145
CCA-SSG,Cora,50,0.8,,0.6943,0.0126
dCCA-SSG,Cora,50,0.8,,0.6967,0.0163
gCCA-SSG,Cora,400,0.8,,0.6598,0.0133
CLNR,Cora,50,0.8,,0.6999,0.0131
dCLNR,Cora,50,0.8,,0.7139,0.013
GRACE,Cora,400,0.8,,0.6644,0.0152
