model,dataset,non-linearity,normalize,lr,channels,epoch,drop_edge_rate,drop_feat_rate,accuracy
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8140)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8250)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8180)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8320)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8130)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8160)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8220)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.7840)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8120)
CCA,Cora,True,True,0.001,512,50,0.1,0.4,tensor(0.8040)
